Using backend: pytorch
Namespace(dataset='Citeseer', dropout=0.75, early_stopping=100, epochs=200, gpu=0, hid_dim=16, lamb=0.0005, lr=0.01, num_layers=1, num_stacks=2)
  NumNodes: 3327
  NumEdges: 9228
  NumFeats: 3703
  NumClasses: 6
  NumTrainingSamples: 120
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
Model params:  238004

Accuracy & Loss:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.1417 | Train Loss 1.7932 | Val Acc 0.1560 | Val loss 1.7933:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.1833 | Train Loss 1.7914 | Val Acc 0.1260 | Val loss 1.7943:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.1833 | Train Loss 1.7902 | Val Acc 0.1880 | Val loss 1.7908:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.1750 | Train Loss 1.7966 | Val Acc 0.2000 | Val loss 1.7918:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.2167 | Train Loss 1.7768 | Val Acc 0.1620 | Val loss 1.7937:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.2500 | Train Loss 1.7792 | Val Acc 0.1900 | Val loss 1.7913:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.2250 | Train Loss 1.7802 | Val Acc 0.2220 | Val loss 1.7864:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.3167 | Train Loss 1.7600 | Val Acc 0.2080 | Val loss 1.7904:   0%|          | 0/200 [00:00<?, ?it/s]
Train Acc 0.3167 | Train Loss 1.7600 | Val Acc 0.2080 | Val loss 1.7904:   4%|▍         | 8/200 [00:00<00:02, 78.61it/s]
Train Acc 0.2500 | Train Loss 1.7620 | Val Acc 0.1860 | Val loss 1.7914:   4%|▍         | 8/200 [00:00<00:02, 78.61it/s]
Train Acc 0.2417 | Train Loss 1.7485 | Val Acc 0.1860 | Val loss 1.7875:   4%|▍         | 8/200 [00:00<00:02, 78.61it/s]
Train Acc 0.3250 | Train Loss 1.7490 | Val Acc 0.1780 | Val loss 1.7941:   4%|▍         | 8/200 [00:00<00:02, 78.61it/s]
Train Acc 0.3083 | Train Loss 1.6812 | Val Acc 0.2320 | Val loss 1.7655:  10%|█         | 20/200 [00:00<00:01, 98.23it/s]
Train Acc 0.4000 | Train Loss 1.6501 | Val Acc 0.2300 | Val loss 1.7490:  10%|█         | 20/200 [00:00<00:01, 98.23it/s]
Train Acc 0.4500 | Train Loss 1.5575 | Val Acc 0.2600 | Val loss 1.7566:  10%|█         | 20/200 [00:00<00:01, 98.23it/s]
Train Acc 0.3917 | Train Loss 1.5846 | Val Acc 0.2600 | Val loss 1.7518:  10%|█         | 20/200 [00:00<00:01, 98.23it/s]
Train Acc 0.4250 | Train Loss 1.6083 | Val Acc 0.2560 | Val loss 1.7379:  10%|█         | 20/200 [00:00<00:01, 98.23it/s]
Train Acc 0.4500 | Train Loss 1.6038 | Val Acc 0.2400 | Val loss 1.7428:  10%|█         | 20/200 [00:00<00:01, 98.23it/s]
Train Acc 0.4083 | Train Loss 1.5838 | Val Acc 0.2800 | Val loss 1.7455:  10%|█         | 20/200 [00:00<00:01, 98.23it/s]
Train Acc 0.4083 | Train Loss 1.5838 | Val Acc 0.2800 | Val loss 1.7455:  16%|█▌        | 31/200 [00:00<00:01, 101.77it/s]
Train Acc 0.4750 | Train Loss 1.5541 | Val Acc 0.2860 | Val loss 1.7397:  16%|█▌        | 31/200 [00:00<00:01, 101.77it/s]
Train Acc 0.4500 | Train Loss 1.5243 | Val Acc 0.2960 | Val loss 1.7223:  16%|█▌        | 31/200 [00:00<00:01, 101.77it/s]
Train Acc 0.4583 | Train Loss 1.5668 | Val Acc 0.2580 | Val loss 1.7551:  16%|█▌        | 31/200 [00:00<00:01, 101.77it/s]
Train Acc 0.5000 | Train Loss 1.5349 | Val Acc 0.2660 | Val loss 1.7295:  16%|█▌        | 31/200 [00:00<00:01, 101.77it/s]
Train Acc 0.5167 | Train Loss 1.4966 | Val Acc 0.2920 | Val loss 1.7293:  16%|█▌        | 31/200 [00:00<00:01, 101.77it/s]
Train Acc 0.5167 | Train Loss 1.4682 | Val Acc 0.2800 | Val loss 1.7313:  16%|█▌        | 31/200 [00:00<00:01, 101.77it/s]
Train Acc 0.5583 | Train Loss 1.4035 | Val Acc 0.2820 | Val loss 1.7331:  16%|█▌        | 31/200 [00:00<00:01, 101.77it/s]
Train Acc 0.5000 | Train Loss 1.5154 | Val Acc 0.2940 | Val loss 1.7299:  16%|█▌        | 31/200 [00:00<00:01, 101.77it/s]
Train Acc 0.5750 | Train Loss 1.4459 | Val Acc 0.2820 | Val loss 1.7098:  16%|█▌        | 31/200 [00:00<00:01, 101.77it/s]
Train Acc 0.5583 | Train Loss 1.4668 | Val Acc 0.3280 | Val loss 1.6943:  16%|█▌        | 31/200 [00:00<00:01, 101.77it/s]
Train Acc 0.4667 | Train Loss 1.5614 | Val Acc 0.3040 | Val loss 1.6999:  16%|█▌        | 31/200 [00:00<00:01, 101.77it/s]
Train Acc 0.4667 | Train Loss 1.5614 | Val Acc 0.3040 | Val loss 1.6999:  21%|██        | 42/200 [00:00<00:01, 103.88it/s]
Train Acc 0.5500 | Train Loss 1.4025 | Val Acc 0.3160 | Val loss 1.6992:  21%|██        | 42/200 [00:00<00:01, 103.88it/s]
Train Acc 0.5917 | Train Loss 1.4265 | Val Acc 0.2920 | Val loss 1.7220:  21%|██        | 42/200 [00:00<00:01, 103.88it/s]
Train Acc 0.5500 | Train Loss 1.3681 | Val Acc 0.2660 | Val loss 1.7159:  21%|██        | 42/200 [00:00<00:01, 103.88it/s]
Train Acc 0.4833 | Train Loss 1.4410 | Val Acc 0.2820 | Val loss 1.7154:  21%|██        | 42/200 [00:00<00:01, 103.88it/s]
Train Acc 0.5250 | Train Loss 1.4181 | Val Acc 0.3040 | Val loss 1.7102:  21%|██        | 42/200 [00:00<00:01, 103.88it/s]
Train Acc 0.5417 | Train Loss 1.3871 | Val Acc 0.2980 | Val loss 1.6754:  21%|██        | 42/200 [00:00<00:01, 103.88it/s]
Train Acc 0.5500 | Train Loss 1.4049 | Val Acc 0.3280 | Val loss 1.6936:  21%|██        | 42/200 [00:00<00:01, 103.88it/s]
Train Acc 0.6000 | Train Loss 1.3314 | Val Acc 0.3040 | Val loss 1.6885:  21%|██        | 42/200 [00:00<00:01, 103.88it/s]
Train Acc 0.5583 | Train Loss 1.3614 | Val Acc 0.3240 | Val loss 1.6670:  21%|██        | 42/200 [00:00<00:01, 103.88it/s]
Train Acc 0.6250 | Train Loss 1.2827 | Val Acc 0.3060 | Val loss 1.6962:  21%|██        | 42/200 [00:00<00:01, 103.88it/s]
Train Acc 0.6333 | Train Loss 1.2662 | Val Acc 0.3180 | Val loss 1.6921:  21%|██        | 42/200 [00:00<00:01, 103.88it/s]
Train Acc 0.6333 | Train Loss 1.3039 | Val Acc 0.3440 | Val loss 1.6666:  21%|██        | 42/200 [00:00<00:01, 103.88it/s]
Train Acc 0.6333 | Train Loss 1.3039 | Val Acc 0.3440 | Val loss 1.6666:  27%|██▋       | 54/200 [00:00<00:01, 106.20it/s]
Train Acc 0.6667 | Train Loss 1.1846 | Val Acc 0.3460 | Val loss 1.6642:  27%|██▋       | 54/200 [00:00<00:01, 106.20it/s]
Train Acc 0.6500 | Train Loss 1.3094 | Val Acc 0.3480 | Val loss 1.6424:  27%|██▋       | 54/200 [00:00<00:01, 106.20it/s]
Train Acc 0.6667 | Train Loss 1.2059 | Val Acc 0.3280 | Val loss 1.6415:  27%|██▋       | 54/200 [00:00<00:01, 106.20it/s]
Train Acc 0.7167 | Train Loss 1.1806 | Val Acc 0.3260 | Val loss 1.6648:  27%|██▋       | 54/200 [00:00<00:01, 106.20it/s]
Train Acc 0.6667 | Train Loss 1.1590 | Val Acc 0.3220 | Val loss 1.6647:  27%|██▋       | 54/200 [00:00<00:01, 106.20it/s]
Train Acc 0.6333 | Train Loss 1.2826 | Val Acc 0.3180 | Val loss 1.6912:  27%|██▋       | 54/200 [00:00<00:01, 106.20it/s]
Train Acc 0.6000 | Train Loss 1.1648 | Val Acc 0.3180 | Val loss 1.6656:  27%|██▋       | 54/200 [00:00<00:01, 106.20it/s]
Train Acc 0.6333 | Train Loss 1.2140 | Val Acc 0.3140 | Val loss 1.6674:  27%|██▋       | 54/200 [00:00<00:01, 106.20it/s]
Train Acc 0.6167 | Train Loss 1.1547 | Val Acc 0.3560 | Val loss 1.6209:  27%|██▋       | 54/200 [00:00<00:01, 106.20it/s]
Train Acc 0.7500 | Train Loss 1.0738 | Val Acc 0.3420 | Val loss 1.6652:  27%|██▋       | 54/200 [00:00<00:01, 106.20it/s]
Train Acc 0.5750 | Train Loss 1.2126 | Val Acc 0.3020 | Val loss 1.6955:  27%|██▋       | 54/200 [00:00<00:01, 106.20it/s]
Train Acc 0.5750 | Train Loss 1.2126 | Val Acc 0.3020 | Val loss 1.6955:  32%|███▎      | 65/200 [00:00<00:01, 106.35it/s]
Train Acc 0.6500 | Train Loss 1.1373 | Val Acc 0.3620 | Val loss 1.6557:  32%|███▎      | 65/200 [00:00<00:01, 106.35it/s]
Train Acc 0.7333 | Train Loss 1.0530 | Val Acc 0.3560 | Val loss 1.6378:  32%|███▎      | 65/200 [00:00<00:01, 106.35it/s]
Train Acc 0.6500 | Train Loss 1.1641 | Val Acc 0.3780 | Val loss 1.6102:  32%|███▎      | 65/200 [00:00<00:01, 106.35it/s]
Train Acc 0.7167 | Train Loss 1.0889 | Val Acc 0.3320 | Val loss 1.6438:  32%|███▎      | 65/200 [00:00<00:01, 106.35it/s]
Train Acc 0.6750 | Train Loss 1.0975 | Val Acc 0.3880 | Val loss 1.5995:  32%|███▎      | 65/200 [00:00<00:01, 106.35it/s]
Train Acc 0.5833 | Train Loss 1.1730 | Val Acc 0.3680 | Val loss 1.5880:  32%|███▎      | 65/200 [00:00<00:01, 106.35it/s]
Train Acc 0.6917 | Train Loss 1.0903 | Val Acc 0.3980 | Val loss 1.5914:  32%|███▎      | 65/200 [00:00<00:01, 106.35it/s]
Train Acc 0.7333 | Train Loss 1.1066 | Val Acc 0.3840 | Val loss 1.6082:  32%|███▎      | 65/200 [00:00<00:01, 106.35it/s]
Train Acc 0.8000 | Train Loss 1.0151 | Val Acc 0.3900 | Val loss 1.6017:  32%|███▎      | 65/200 [00:00<00:01, 106.35it/s]
Train Acc 0.7417 | Train Loss 0.9905 | Val Acc 0.4060 | Val loss 1.5610:  32%|███▎      | 65/200 [00:00<00:01, 106.35it/s]
Train Acc 0.7583 | Train Loss 1.0132 | Val Acc 0.3660 | Val loss 1.6142:  32%|███▎      | 65/200 [00:00<00:01, 106.35it/s]
Train Acc 0.7583 | Train Loss 1.0132 | Val Acc 0.3660 | Val loss 1.6142:  38%|███▊      | 76/200 [00:00<00:01, 104.43it/s]
Train Acc 0.6917 | Train Loss 1.0799 | Val Acc 0.4040 | Val loss 1.6292:  38%|███▊      | 76/200 [00:00<00:01, 104.43it/s]
Train Acc 0.6833 | Train Loss 1.0829 | Val Acc 0.3680 | Val loss 1.6058:  38%|███▊      | 76/200 [00:00<00:01, 104.43it/s]
Train Acc 0.7167 | Train Loss 0.9843 | Val Acc 0.3880 | Val loss 1.6122:  38%|███▊      | 76/200 [00:00<00:01, 104.43it/s]
Train Acc 0.7250 | Train Loss 1.0196 | Val Acc 0.3660 | Val loss 1.5701:  38%|███▊      | 76/200 [00:00<00:01, 104.43it/s]
Train Acc 0.7750 | Train Loss 0.9372 | Val Acc 0.3640 | Val loss 1.6552:  38%|███▊      | 76/200 [00:00<00:01, 104.43it/s]
Train Acc 0.7583 | Train Loss 0.9329 | Val Acc 0.3780 | Val loss 1.5810:  38%|███▊      | 76/200 [00:00<00:01, 104.43it/s]
Train Acc 0.7417 | Train Loss 0.9523 | Val Acc 0.3600 | Val loss 1.6181:  38%|███▊      | 76/200 [00:00<00:01, 104.43it/s]
Train Acc 0.7583 | Train Loss 0.9356 | Val Acc 0.3840 | Val loss 1.5790:  38%|███▊      | 76/200 [00:00<00:01, 104.43it/s]
Train Acc 0.7917 | Train Loss 0.9837 | Val Acc 0.3980 | Val loss 1.5756:  38%|███▊      | 76/200 [00:00<00:01, 104.43it/s]
Train Acc 0.7250 | Train Loss 0.8859 | Val Acc 0.3880 | Val loss 1.5715:  38%|███▊      | 76/200 [00:00<00:01, 104.43it/s]
Train Acc 0.8167 | Train Loss 0.8589 | Val Acc 0.3980 | Val loss 1.5108:  38%|███▊      | 76/200 [00:00<00:01, 104.43it/s]
Train Acc 0.7083 | Train Loss 0.9617 | Val Acc 0.3780 | Val loss 1.6050:  38%|███▊      | 76/200 [00:00<00:01, 104.43it/s]
Train Acc 0.7083 | Train Loss 0.9617 | Val Acc 0.3780 | Val loss 1.6050:  44%|████▍     | 88/200 [00:00<00:01, 107.68it/s]
Train Acc 0.7167 | Train Loss 0.9688 | Val Acc 0.4180 | Val loss 1.5540:  44%|████▍     | 88/200 [00:00<00:01, 107.68it/s]
Train Acc 0.7333 | Train Loss 0.9395 | Val Acc 0.3980 | Val loss 1.5841:  44%|████▍     | 88/200 [00:00<00:01, 107.68it/s]
Train Acc 0.7583 | Train Loss 0.9048 | Val Acc 0.3620 | Val loss 1.5897:  44%|████▍     | 88/200 [00:00<00:01, 107.68it/s]
Train Acc 0.7500 | Train Loss 0.9379 | Val Acc 0.3760 | Val loss 1.5563:  44%|████▍     | 88/200 [00:00<00:01, 107.68it/s]
Train Acc 0.6833 | Train Loss 0.9515 | Val Acc 0.3740 | Val loss 1.5714:  44%|████▍     | 88/200 [00:00<00:01, 107.68it/s]
Train Acc 0.7667 | Train Loss 0.8542 | Val Acc 0.4220 | Val loss 1.5317:  44%|████▍     | 88/200 [00:00<00:01, 107.68it/s]
Train Acc 0.7750 | Train Loss 0.9364 | Val Acc 0.3920 | Val loss 1.5674:  44%|████▍     | 88/200 [00:00<00:01, 107.68it/s]
Train Acc 0.6917 | Train Loss 0.9454 | Val Acc 0.3780 | Val loss 1.5622:  44%|████▍     | 88/200 [00:00<00:01, 107.68it/s]
Train Acc 0.7917 | Train Loss 0.8431 | Val Acc 0.3700 | Val loss 1.5676:  44%|████▍     | 88/200 [00:00<00:01, 107.68it/s]
Train Acc 0.7167 | Train Loss 0.9719 | Val Acc 0.3940 | Val loss 1.6042:  44%|████▍     | 88/200 [00:00<00:01, 107.68it/s]
Train Acc 0.7083 | Train Loss 0.8809 | Val Acc 0.3780 | Val loss 1.6063:  44%|████▍     | 88/200 [00:00<00:01, 107.68it/s]
Train Acc 0.7083 | Train Loss 0.8809 | Val Acc 0.3780 | Val loss 1.6063:  50%|████▉     | 99/200 [00:00<00:00, 107.84it/s]
Train Acc 0.6667 | Train Loss 0.9224 | Val Acc 0.4000 | Val loss 1.5429:  50%|████▉     | 99/200 [00:00<00:00, 107.84it/s]
Train Acc 0.7500 | Train Loss 0.8739 | Val Acc 0.3700 | Val loss 1.6017:  50%|████▉     | 99/200 [00:00<00:00, 107.84it/s]
Train Acc 0.7667 | Train Loss 0.7731 | Val Acc 0.4520 | Val loss 1.5293:  50%|████▉     | 99/200 [00:00<00:00, 107.84it/s]
Train Acc 0.8000 | Train Loss 0.8026 | Val Acc 0.3880 | Val loss 1.5443:  50%|████▉     | 99/200 [00:00<00:00, 107.84it/s]
Train Acc 0.7833 | Train Loss 0.7883 | Val Acc 0.4540 | Val loss 1.4945:  50%|████▉     | 99/200 [00:00<00:00, 107.84it/s]
Train Acc 0.7667 | Train Loss 0.8604 | Val Acc 0.4260 | Val loss 1.4964:  50%|████▉     | 99/200 [00:00<00:00, 107.84it/s]
Train Acc 0.8000 | Train Loss 0.7728 | Val Acc 0.4500 | Val loss 1.4927:  50%|████▉     | 99/200 [00:01<00:00, 107.84it/s]
Train Acc 0.7250 | Train Loss 0.8824 | Val Acc 0.4160 | Val loss 1.5881:  50%|████▉     | 99/200 [00:01<00:00, 107.84it/s]
Train Acc 0.8000 | Train Loss 0.7805 | Val Acc 0.3800 | Val loss 1.5531:  50%|████▉     | 99/200 [00:01<00:00, 107.84it/s]
Train Acc 0.7667 | Train Loss 0.8460 | Val Acc 0.4440 | Val loss 1.5320:  50%|████▉     | 99/200 [00:01<00:00, 107.84it/s]
Train Acc 0.8250 | Train Loss 0.7437 | Val Acc 0.3940 | Val loss 1.5488:  50%|████▉     | 99/200 [00:01<00:00, 107.84it/s]
Train Acc 0.8167 | Train Loss 0.7953 | Val Acc 0.4180 | Val loss 1.5381:  50%|████▉     | 99/200 [00:01<00:00, 107.84it/s]
Train Acc 0.8167 | Train Loss 0.7953 | Val Acc 0.4180 | Val loss 1.5381:  56%|█████▌    | 111/200 [00:01<00:00, 109.08it/s]
Train Acc 0.7333 | Train Loss 0.9090 | Val Acc 0.4200 | Val loss 1.5626:  56%|█████▌    | 111/200 [00:01<00:00, 109.08it/s]
Train Acc 0.7417 | Train Loss 0.7827 | Val Acc 0.4360 | Val loss 1.5213:  56%|█████▌    | 111/200 [00:01<00:00, 109.08it/s]
Train Acc 0.7417 | Train Loss 0.7673 | Val Acc 0.4380 | Val loss 1.5073:  56%|█████▌    | 111/200 [00:01<00:00, 109.08it/s]
Train Acc 0.8250 | Train Loss 0.7390 | Val Acc 0.4060 | Val loss 1.5269:  56%|█████▌    | 111/200 [00:01<00:00, 109.08it/s]
Train Acc 0.7667 | Train Loss 0.7906 | Val Acc 0.3980 | Val loss 1.5689:  56%|█████▌    | 111/200 [00:01<00:00, 109.08it/s]
Train Acc 0.7583 | Train Loss 0.8045 | Val Acc 0.4320 | Val loss 1.4876:  56%|█████▌    | 111/200 [00:01<00:00, 109.08it/s]
Train Acc 0.8250 | Train Loss 0.7077 | Val Acc 0.4080 | Val loss 1.5207:  56%|█████▌    | 111/200 [00:01<00:00, 109.08it/s]
Train Acc 0.7333 | Train Loss 0.8769 | Val Acc 0.4160 | Val loss 1.5032:  56%|█████▌    | 111/200 [00:01<00:00, 109.08it/s]
Train Acc 0.8083 | Train Loss 0.8003 | Val Acc 0.4100 | Val loss 1.5603:  56%|█████▌    | 111/200 [00:01<00:00, 109.08it/s]
Train Acc 0.7500 | Train Loss 0.8731 | Val Acc 0.4420 | Val loss 1.5113:  56%|█████▌    | 111/200 [00:01<00:00, 109.08it/s]
Train Acc 0.8000 | Train Loss 0.7206 | Val Acc 0.4440 | Val loss 1.5002:  56%|█████▌    | 111/200 [00:01<00:00, 109.08it/s]
Train Acc 0.7833 | Train Loss 0.7961 | Val Acc 0.4420 | Val loss 1.4619:  56%|█████▌    | 111/200 [00:01<00:00, 109.08it/s]
Train Acc 0.7833 | Train Loss 0.7961 | Val Acc 0.4420 | Val loss 1.4619:  62%|██████▏   | 123/200 [00:01<00:00, 110.78it/s]
Train Acc 0.7250 | Train Loss 0.7829 | Val Acc 0.4320 | Val loss 1.4832:  62%|██████▏   | 123/200 [00:01<00:00, 110.78it/s]
Train Acc 0.8000 | Train Loss 0.7629 | Val Acc 0.4800 | Val loss 1.4517:  62%|██████▏   | 123/200 [00:01<00:00, 110.78it/s]
Train Acc 0.8000 | Train Loss 0.7929 | Val Acc 0.4600 | Val loss 1.4732:  62%|██████▏   | 123/200 [00:01<00:00, 110.78it/s]
Train Acc 0.7833 | Train Loss 0.7530 | Val Acc 0.4260 | Val loss 1.4788:  62%|██████▏   | 123/200 [00:01<00:00, 110.78it/s]
Train Acc 0.8167 | Train Loss 0.6899 | Val Acc 0.5000 | Val loss 1.4464:  62%|██████▏   | 123/200 [00:01<00:00, 110.78it/s]
Train Acc 0.8083 | Train Loss 0.7067 | Val Acc 0.4500 | Val loss 1.4658:  62%|██████▏   | 123/200 [00:01<00:00, 110.78it/s]
Train Acc 0.8333 | Train Loss 0.6665 | Val Acc 0.4480 | Val loss 1.4748:  62%|██████▏   | 123/200 [00:01<00:00, 110.78it/s]
Train Acc 0.8000 | Train Loss 0.7228 | Val Acc 0.4600 | Val loss 1.5163:  62%|██████▏   | 123/200 [00:01<00:00, 110.78it/s]
Train Acc 0.7917 | Train Loss 0.7534 | Val Acc 0.4060 | Val loss 1.5438:  62%|██████▏   | 123/200 [00:01<00:00, 110.78it/s]
Train Acc 0.7750 | Train Loss 0.7860 | Val Acc 0.4240 | Val loss 1.5600:  62%|██████▏   | 123/200 [00:01<00:00, 110.78it/s]
Train Acc 0.7667 | Train Loss 0.7939 | Val Acc 0.4260 | Val loss 1.5074:  62%|██████▏   | 123/200 [00:01<00:00, 110.78it/s]
Train Acc 0.7583 | Train Loss 0.7836 | Val Acc 0.4240 | Val loss 1.4916:  62%|██████▏   | 123/200 [00:01<00:00, 110.78it/s]
Train Acc 0.7583 | Train Loss 0.7836 | Val Acc 0.4240 | Val loss 1.4916:  68%|██████▊   | 135/200 [00:01<00:00, 110.77it/s]
Train Acc 0.7500 | Train Loss 0.8124 | Val Acc 0.4300 | Val loss 1.5327:  68%|██████▊   | 135/200 [00:01<00:00, 110.77it/s]
Train Acc 0.8083 | Train Loss 0.7044 | Val Acc 0.4580 | Val loss 1.5046:  68%|██████▊   | 135/200 [00:01<00:00, 110.77it/s]
Train Acc 0.8750 | Train Loss 0.5778 | Val Acc 0.4340 | Val loss 1.5007:  68%|██████▊   | 135/200 [00:01<00:00, 110.77it/s]
Train Acc 0.7667 | Train Loss 0.7623 | Val Acc 0.4460 | Val loss 1.4612:  68%|██████▊   | 135/200 [00:01<00:00, 110.77it/s]
Train Acc 0.8167 | Train Loss 0.6911 | Val Acc 0.4400 | Val loss 1.4706:  68%|██████▊   | 135/200 [00:01<00:00, 110.77it/s]
Train Acc 0.8000 | Train Loss 0.7301 | Val Acc 0.4500 | Val loss 1.4688:  68%|██████▊   | 135/200 [00:01<00:00, 110.77it/s]
Train Acc 0.8167 | Train Loss 0.7271 | Val Acc 0.4480 | Val loss 1.4395:  68%|██████▊   | 135/200 [00:01<00:00, 110.77it/s]
Train Acc 0.8167 | Train Loss 0.6779 | Val Acc 0.4400 | Val loss 1.5118:  68%|██████▊   | 135/200 [00:01<00:00, 110.77it/s]
Train Acc 0.8667 | Train Loss 0.6347 | Val Acc 0.4540 | Val loss 1.5190:  68%|██████▊   | 135/200 [00:01<00:00, 110.77it/s]
Train Acc 0.8333 | Train Loss 0.6828 | Val Acc 0.4320 | Val loss 1.4834:  68%|██████▊   | 135/200 [00:01<00:00, 110.77it/s]
Train Acc 0.8000 | Train Loss 0.7012 | Val Acc 0.4260 | Val loss 1.5415:  68%|██████▊   | 135/200 [00:01<00:00, 110.77it/s]
Train Acc 0.7750 | Train Loss 0.6929 | Val Acc 0.4740 | Val loss 1.4888:  68%|██████▊   | 135/200 [00:01<00:00, 110.77it/s]
Train Acc 0.7750 | Train Loss 0.6929 | Val Acc 0.4740 | Val loss 1.4888:  74%|███████▎  | 147/200 [00:01<00:00, 112.31it/s]
Train Acc 0.7833 | Train Loss 0.7551 | Val Acc 0.4520 | Val loss 1.5138:  74%|███████▎  | 147/200 [00:01<00:00, 112.31it/s]
Train Acc 0.8583 | Train Loss 0.6478 | Val Acc 0.4380 | Val loss 1.5361:  74%|███████▎  | 147/200 [00:01<00:00, 112.31it/s]
Train Acc 0.7750 | Train Loss 0.6865 | Val Acc 0.4700 | Val loss 1.4644:  74%|███████▎  | 147/200 [00:01<00:00, 112.31it/s]
